Age,Club,Cond,Current Race Name,Dist,First,G ID,Grp,MeetDate,Prize$$,Registered Race Name,SECOND,Second,Sex,State,THIRD,Third,Unnamed: 11,Venue,WINNER
O,BRC,,GLENLOGAN PARK STAKES,1300,,435,3,2019-05-25,150000,GLENLOGAN PARK STAKES,,,F&M,QLD,,,SWP,E FM,
3-Y-O,BRC,,GRAND PRIX STAKES,2200,,288,3,2019-05-25,150000,GRAND PRIX STAKES,,,O,QLD,,,SW,E FM,
O,BRC,,LORD MAYOR'S CUP,1600,,171,3,2019-05-25,125000,LORD MAYOR'S CUP,,,O,QLD,,,Qlty,E FM,
O,VRC,,THE STRAIGHT SIX,1200,,485,4,2019-05-18,120000,THE STRAIGHT SIX,,,O,VIC,,,Hcp,FLEM,
O,SAJC,,THE GOODWOOD,1200,,27,1,2019-05-18,1000000,SAJC GOODWOOD,,,O,SA,,,SWP,MORP,
O,SAJC,,R A LEE STAKES,1600,,200,3,2019-05-18,250000,R A LEE STAKES,,,O,SA,,,SWP,MORP,
2-Y-O,SAJC,,NATIONAL STAKES,1200,,379,3,2019-05-18,200000,NATIONAL STAKES,,,O,SA,,,SWP,MORP,
3-Y-O,SAJC,,SA FILLIES CLASSIC,2500,,443,3,2019-05-18,175000,SA FILLIES CLASSIC,,,F,SA,,,SW,MORP,
O,SAJC,,PORT ADELAIDE CUP,2500,,30,4,2019-05-18,150000,PORT ADELAIDE CUP,,,O,SA,,,Qlty,MORP,
O,SAJC,,CENTAUREA STAKES,2000,,632,4,2019-05-18,125000,CENTAUREA STAKES,,,F&M,SA,,,SWP,MORP,
O,VRC,,ANDREW RAMSDEN STAKES,3200,,237,4,2019-05-18,200000,ANDREW RAMSDEN STAKES,,,O,VIC,,,Hcp,FLEM,
3YO&Up,SAJC,,PROUD MISS STAKES,1200,,703,3,2019-05-18,175000,PROUD MISS STAKES,,,F&M,SA,,,SWP,MORP,
2YO&Up,WATC,,ROMA CUP,1200,,432,3,2019-05-18,150000,ROMA CUP,,,O,WA,,,WFA,ASCT,
