MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,First,Second,Third
4/09/2010,517,3,NSW,TATTS (NSW),RAND,TRAMWAY HCP,1400,125000,3YO&Up,O,Qlty,TRAMWAY HANDICAP,NEESON,CANNONBALL,HERCULIAN PRINCE
4/09/2010,166,4,NSW,TATTS (NSW),RAND,MING DYNASTY QUALITY HCP,1400,100000,3-Y-O,C&G,Qlty,MING DYNASTY QUALITY HCP,LION TAMER,PRAECIDO,LEVI'S CHOICE
4/09/2010,257,4,WA,WATC,BLMT,FARNLEY STAKES,1400,75000,3YO&Up,O,Qlty,FARNLEY STKS,FOXY BOY,DELTA GEE,SUPERSCENIC
4/09/2010,720,4,VIC,VRC,FLEM,EXFORD PLATE,1400,125000,3-Y-O,O,SWP,EXFORD PLATE,HOLLOWLEA,ALTIUS,CENSOR
11/09/2010,258,2,VIC,MVRC,M V,DATO' TAN CHIN NAM STAKES,1600,400000,O,O,WFA,JOHN F FEEHAN STAKES,WHOBEGOTYOU,TYPHOON TRACY,SHOOT OUT
11/09/2010,507,2,NSW,STC,RHIL,THEO MARKS STAKES,1400,200000,3YO&Up,O,Qlty,THEO MARKS STAKES,MORE JOYOUS,ROTHESAY,DRUMBEATS
11/09/2010,599,2,VIC,MVRC,M V,W H STOCKS STAKES,1600,200000,4YO&Up,M,WFA,W H STOCKS STAKES,AVIENUS,BELSCENICA,LADY LYNETTE
11/09/2010,324,3,NSW,STC,RHIL,KINGSTON TOWN STAKES,2000,125000,3YO&Up,O,Qlty,KINGSTON TOWN STAKES,HERCULIAN PRINCE,STORM HILL,THE EMBASSY
11/09/2010,651,3,VIC,MVRC,M V,MCEWAN STAKES,1000,200000,O,O,WFA,IAN McEWEN TROPHY,HAY LIST,CATAPULTED,REWARD FOR EFFORT
11/09/2010,653,3,NSW,STC,RHIL,RESEARCH STAKES,1200,125000,3YO&Up,F&M,Qlty,RESEARCH STAKES,TRIM,GIRL HUSSLER,MONTANA FLYER
11/09/2010,373,4,SA,SAJC,MORP,LINDSAY PARK GUINEAS,1600,80000,3-Y-O,F,SW,MORPHETTVILLE GUINEAS,BECERRA,SAYAHAILMARY,SPIRIT SONG
11/09/2010,464,4,NSW,STC,RHIL,HERITAGE STAKES,1200,120000,3-Y-O,O,SW,HERITAGE STAKES,DECISION TIME,HALEKULARI,HINCHINBROOK
11/09/2010,508,4,SA,SAJC,MORP,TOKYO CITY CUP,1600,80000,O,O,Qlty,TOKYO CITY CUP,DYNAMIC HERO,HASTEIN,RIGHT FONG
11/09/2010,550,4,SA,SAJC,MORP,W H WYLIE HANDICAP,1100,80000,O,O,Qlty,W H WYLIE HANDICAP,GRAND DUELS,DR DOUTE'S,STIRLING GROVE
12/09/2010,609,4,WA,KALG-BOU RC,KALG,BOULDERS CUP,1760,100000,O,O,Qlty,BOULDER CUP,GONDORFF,ADMIRING,INARTICULATE
15/09/2010,160,3,NSW,NEWCASTLE JC,NCLE,CAMERON HCP,1300,140000,O,O,Hcp,CAMERON HANDICAP,ILOVETHISCITY,GIRESUN,HEARTSAREFORLOVE
15/09/2010,473,3,NSW,NEWCASTLE JC,NCLE,SPRING STAKES,1600,175000,3-Y-O,O,SW,NJC 3YO SPRING STAKES,KENNY'S WORLD,PRINCE BRAEMEN,CHASM
15/09/2010,296,4,WA,KALG-BOU RC,KALG,HANNAN'S HANDICAP,1400,120000,O,O,Qlty,HANNANS HANDICAP,KING KOOL KAT,LUCID REFLECTION,FOXY BOY
16/09/2010,381,3,NSW,NEWCASTLE JC,NCLE,NEWCASTLE CUP,2300,185000,O,O,Hcp,NEWCASTLE GOLD CUP,STRATOFORTRESS,SNOW ALERT,SCOTTISH BORDER
16/09/2010,672,4,NSW,NEWCASTLE JC,NCLE,TIBBIE STAKES,1400,100000,O,F&M,SWP,TIBBIE PLATE,VINTEDGE,HIDDEN WONDER,ASHLEE'S JEWEL
18/09/2010,348,1,VIC,MRC,CAUL,DUBAI RACING CLUB CUP,1400,350000,O,O,Hcp,INVITATION STAKES,RESPONSE,NO EVIDENCE NEEDED,WOORIM
18/09/2010,521,1,VIC,MRC,CAUL,UNDERWOOD STAKES,1800,350000,3YO&Up,O,WFA,UNDERWOOD STAKES,SO YOU THINK,DARIANA,METAL BENDER
18/09/2010,308,2,NSW,STC,RHIL,HILL STAKES,1900,175000,3YO&Up,O,WFA,HILL STAKES,DESCARADO,TRIPLE HONOUR,PURPLE
18/09/2010,407,2,NSW,STC,RHIL,PREMIERE STAKES,1200,175000,3YO&Up,O,WFA,PREMIERE STAKES,HOT DANISH,TRADER,CARDINAL VIRTUE
18/09/2010,454,2,NSW,STC,RHIL,SHANNON STAKES,1500,175000,3YO&Up,O,Qlty,SHANNON STAKES,FIREBOLT,CENTENNIAL PARK,SACRED CHOICE
18/09/2010,506,2,NSW,STC,RHIL,TEA ROSE STAKES,1500,175000,3-Y-O,F,SW,TEA ROSE STAKES,MORE STRAWBERRIES,PARABLES,AMBER WALTZ
18/09/2010,281,3,NSW,STC,RHIL,GLOAMING STAKES,1800,250000,3-Y-O,O,SW,GLOAMING STAKES,RETRIEVE,EREWHON,PRAECIDO
18/09/2010,300,3,VIC,MRC,CAUL,TRANQUIL STAR STAKES,1400,125000,3-Y-O,F,SWP,TRANQUIL STAR STAKES,DIVORCES,SISTINE ANGEL,PANIPIQUE
18/09/2010,440,3,VIC,MRC,CAUL,NATURALISM STAKES,2000,125000,O,O,Qlty,NATURALISM STAKES,RAINBOW STYLING,VALDEMORO,MOUDRE
18/09/2010,458,3,VIC,MRC,CAUL,GUINEAS PRELUDE,1400,175000,3-Y-O,C&G,SWP,CAULFIELD GUINEAS PRELUDE,ANACHEEVA,TOORAK TOFF,SKILLED
18/09/2010,656,3,VIC,MRC,CAUL,HOW NOW STAKES,1200,125000,4YO&Up,M,SWP,HOW NOW STAKES,VALENTINE MISS,IM A HUSSY,RED FLAIR
18/09/2010,319,4,WA,KALG-BOU RC,KALG,KALGOORLIE GOLD CUP,2300,150000,O,O,Qlty,KALGOORLIE CUP,SUNRANGE,TELEXDEN,GUYNO
18/09/2010,721,4,VIC,MRC,CAUL,TESTA ROSSA STAKES,1200,100000,O,O,Hcp,TESTA ROSSA STAKES,AVENUE,AMAETHON,ABOUT READY
24/09/2010,343,1,VIC,MVRC,M V,MANIKATO STAKES,1200,500000,O,O,WFA,MANIKATO STAKES,HAY LIST,TRUE PERSUASION,EAGLE FALLS
24/09/2010,369,2,VIC,MVRC,M V,BILL STUTT STAKES,1600,200000,3-Y-O,O,SW,MOONEE VALLEY STAKES,HOLLOWLEA,RUN FOR LEVI,BULLBARS
24/09/2010,525,3,VIC,MVRC,M V,CHAMPAGNE STAKES,1200,150000,3-Y-O,F,SW,MV CHAMPAGNE STAKES,LONE ROCK,JESSE'S GIRL,MILITARY ROSE
24/09/2010,641,3,VIC,MVRC,M V,JRA CUP,2040,200000,O,O,Qlty,JRA CUP,PRECEDENCE,RAINBOW STYLING,LINTON
25/09/2010,276,1,NSW,AJC,RAND,GEORGE MAIN STAKES,1600,350000,3YO&Up,O,WFA,GEORGE MAIN STAKES,MORE JOYOUS,TRUSTING,EMPIRE CHOICE
25/09/2010,479,2,NSW,AJC,RAND,STAN FOX STAKES,1400,175000,3-Y-O,O,SW,STAN FOX STAKES,DECISION TIME,TOP DROP,HALEKULANI
25/09/2010,209,3,NSW,AJC,RAND,COLIN STEPHEN QUALITY,2400,150000,3YO&Up,O,Qlty,COLIN STEPHEN QLTY HCP,NO WINE NO SONG,GET UP JUDE,LEGSMAN
25/09/2010,582,3,NSW,AJC,RAND,BILL RITCHIE HANDICAP,1400,125000,3YO&Up,O,Qlty,BILL RITCHIE HANDICAP,DRUMBEATS,KENNY'S WORLD,CAPTAIN SONADOR
25/09/2010,427,4,NSW,AJC,RAND,REGINALD ALLEN QLTY HCP,1400,100000,3-Y-O,F,Qlty,REGINALD ALLEN QUALITY,M'LADY PEDRILLE,ZUTARA,SECRET ADMIRER
25/09/2010,570,4,NSW,AJC,RAND,DULCIFY 3YO QUALITY HCP,1800,100000,3-Y-O,O,Qlty,DULCIFY QUALITY HCP,YULALONA,HOWDIDDYDOIT,ALMA'S FURY
25/09/2010,617,4,NSW,AJC,RAND,THE NIVISON,1200,100000,4YO&Up,M,SWP,THE NIVISON,MARQUARDT,DORF COMMAND,KISS FROM A ROSE
2/10/2010,14,1,NSW,AJC,RAND,EPSOM HCP,1600,500000,3YO&Up,O,Hcp,EPSOM HANDICAP,CAPTAIN SANADOR,TRUSTING,SACRED CHOICE
2/10/2010,16,1,NSW,AJC,RAND,THE METROPOLITAN,2400,400000,3YO&Up,O,Hcp,THE METROPOLITAN,HERCULIAN PRINCE,MOURAYAN,NO WINE NO SONG
2/10/2010,23,1,NSW,AJC,RAND,SPRING CHAMPION STAKES,2000,400000,3-Y-O,O,SW,SPRING CHAMPION STAKES,EREWHON,RETRIEVE,PRAECIDO
2/10/2010,261,1,NSW,AJC,RAND,FLIGHT STAKES,1600,400000,3-Y-O,F,SW,FLIGHT STAKES,SECRET ADMIRER,MORE STRAWBERRIES,PARABLES
2/10/2010,433,2,NSW,AJC,RAND,ROMAN CONSUL STAKES,1200,175000,3-Y-O,O,SW,ROMAN CONSUL STKS,BUFFERING,OBSEQUIOUS,PARRIWI
2/10/2010,457,2,NSW,AJC,RAND,THE SHORTS,1200,175000,3YO&Up,O,SWP,THE SHORTS,HOT DANISH,WHITEFRIARS,SHELLSCRAPE
2/10/2010,216,3,NSW,AJC,RAND,CRAVEN PLATE,2000,125000,O,O,WFA,CRAVEN PLATE,C'EST LA GUERRE,PURPLE,TRIPLE HONOUR
2/10/2010,144,4,WA,WATC,BLMT,BIRTHDAY STAKES,1200,80000,3YO&Up,O,Qlty,BIRTHDAY STKS,SHOCK VALUE,FAMOUS ROMAN,COLOUR CORRECT
2/10/2010,153,4,NSW,AJC,RAND,BREEDERS' PLATE,1000,100000,2-Y-O,C&G,SW,BREEDERS PLATE,SMART MISSILE,ISLE BE READY,WILD AND PROUD
2/10/2010,279,4,NSW,AJC,RAND,GIMCRACK STAKES,1000,100000,2-Y-O,F,SW,AJC GIMCRACK STKS,DEFIANT DAME,HALLOWELLE BELLE,DISPUTES
2/10/2010,618,4,NSW,AJC,RAND,ANGST STAKES,1400,100000,4YO&Up,M,SWP,ANGST QUALITY HCP,LOVEMELIKEAROCK,SHANNARA,LIVE IN SIN
3/10/2010,519,1,VIC,VRC,FLEM,TURNBULL STAKES,2000,500000,4YO&Up,O,SWP,TURNBULL STAKES,ZIPPING,SHOCKING,SHOOT OUT
3/10/2010,244,2,VIC,VRC,FLEM,EDWARD MANIFOLD STAKES,1600,250000,3-Y-O,F,SW,EDWARD MANIFOLD STAKES,SISTINE ANGEL,BRAZILIAN PULSE,SHAMROCKER
3/10/2010,442,2,VIC,VRC,FLEM,GILGAI STAKES,1200,250000,O,O,SWP,BAGUETTE STAKES,HAY LIST,CATAPULTED,CHASM
3/10/2010,590,2,VIC,VRC,FLEM,JAYCO STAKES,1400,200000,4YO&Up,M,SWP,ROSE OF KINGSTON STAKES,PALACIO DE CRISTAL,NO EVIDENCE NEEDED,STRAWBERRY FIELD
3/10/2010,205,4,VIC,VRC,FLEM,CONCEPT SPORTS STAKES,1400,150000,3-Y-O,C&G,SWP,POSEIDON STAKES,TERRITORY,MR CHARD,MULTAHEM
3/10/2010,346,4,VIC,VRC,FLEM,MARIBYRNONG TRIAL STAKES,1000,100000,2-Y-O,O,SW,MARIBYRNONG TRIAL STAKES,SEPOY,DELAGO'S LAD,STOP SOOKIN
3/10/2010,638,4,VIC,VRC,FLEM,PARIS LANE STAKES,1400,125000,4YO&Up,O,Hcp,PARIS LANE STAKES,GATHERING,ROCKPECKER,WOORIM
3/10/2010,712,4,VIC,VRC,FLEM,SUPER IMPOSE PLATE,1800,150000,3-Y-O,O,SWP,SUPER IMPOSE PLATE,ÉCLAIR SURPRISE,ALMINDORO,SHADOWOFEXCELLENCE
3/10/2010,713,4,VIC,VRC,FLEM,THE BART CUMMINGS,2500,200000,O,O,Hcp,THE BART CUMMINGS,HARRIS TWEED,EXCEPTIONALLY,ABOVE AVERAGE
9/10/2010,11,1,VIC,MRC,CAUL,CAULFIELD GUINEAS,1600,1000000,3-Y-O,O,SW,CAULFIELD GUINEAS,ANACHEEVA,RUN FOR LEVI,MASQUERADER
9/10/2010,181,1,VIC,MRC,CAUL,YALUMBA STAKES,2000,400000,3YO&Up,O,WFA,CAULFIELD STAKES,SO YOU THINK,ALCOPOP,WHOBEGOTYOU
9/10/2010,245,1,VIC,MRC,CAUL,TOORAK HANDICAP,1600,350000,O,O,Hcp,TOORAK HANDICAP,MORE JOYOUS,WE'RE GONNA ROCK,POOR JUDGE
9/10/2010,196,2,VIC,MRC,CAUL,SCHILLACI STAKES,1000,200000,3YO&Up,O,WFA,SCHILLACI STAKES,BLACK CAVIAR,WINTER KING,GENERAL TRUCE
9/10/2010,305,2,VIC,MRC,CAUL,WINNING EDGE PRESENT ST,2400,200000,O,O,Qlty,HERBERT POWER STAKES,LINTON,CEDARBERG,PRECENDENCE
9/10/2010,509,3,VIC,MRC,CAUL,THOROUGHBRED CLUB STAKES,1200,125000,3-Y-O,F,SWP,THOROUGHBRED CLUB STAKES,JESS'S GIRL,DANCE OF THE OCEAN,SHINY AND NEW
9/10/2010,309,4,SA,SAJC,MORP,HILL SMITH STAKES,1800,80000,3-Y-O,O,SW,HILL SMITH STAKES,KITTENS,MAGNIFIQUE SOLEIL,TALE OF THUNDER
9/10/2010,695,4,VIC,MRC,CAUL,NORTHWOOD PLUME STAKES,1200,100000,4YO&Up,M,SWP,NORTHWOOD PLUME STAKES,AVENUE,RED FLAIR,DOOF COMMAND
10/10/2010,215,4,VIC,CRANBOURNE TC,CRAN,CRANBOURNE CUP,2025,150000,O,O,Hcp,CRANBOURNE CUP,STARMON,MY BENTLEY,TUBE
13/10/2010,510,1,VIC,MRC,CAUL,THOUSAND GUINEAS,1600,500000,3-Y-O,F,SW,THE THOUSAND GUINEAS,YOSEI,HEARTSAREFORLOVE,BRAZILIAN PULSE
13/10/2010,227,4,VIC,MRC,CAUL,DEBUTANTS STAKES,1000,100000,2-Y-O,O,SW,DEBUTANT STAKES,ERAMOR,RED DRESS MARLEY,EXCEEDINGLY REGAL
13/10/2010,338,4,SA,MURR BDGE RC,MBRID,MURRAY BRIDGE GOLD CUP,1600,80000,O,O,Qlty,LORD MAYORS MILE,HAWKS BAY,SANDHILL PRINCE,JUTLAND
13/10/2010,710,4,VIC,MRC,CAUL,LADIES DAY VASE,1600,100000,4YO&Up,M,SWP,LADIES DAY VASE,IM IMPOSING,SEA GALLEON,GALIZANT
16/10/2010,4,1,VIC,MRC,CAUL,BMW CAULFIELD CUP,2400,2500000,O,O,Hcp,CAULFIELD CUP,DESCARADO,HARRIS TWEED,MONACO CONSUL
16/10/2010,378,2,VIC,MRC,CAUL,CAULFIELD SPRINT,1100,200000,O,O,Hcp,CAULFIELD SPRINT,SET FOR FAME,DUBLEANNY,SOUL
16/10/2010,561,2,VIC,MRC,CAUL,TRISTARC STAKES,1400,175000,4YO&Up,M,SWP,TRISTARC STAKES,CULMINATE,JERSEY LILY,MARQUARDT
16/10/2010,211,3,VIC,MRC,CAUL,COONGY HANDICAP,2000,125000,O,O,Hcp,COONGY HANDICAP,GINGA DUDE,PURPLE,ZOOMIN
16/10/2010,384,3,VIC,MRC,CAUL,NORMAN ROBINSON STAKES,2000,125000,3-Y-O,O,SWP,NORMAN ROBINSON STAKES,RETRIEVE,ALMINDORO,DIGITAL FORTRESS
16/10/2010,581,3,VIC,MRC,CAUL,HARROLDS 101 STAKES,1400,125000,4YO&Up,O,Hcp,MOONGA STAKES,ROTHERA,SNIPER'S BULLET,JUNGLE RULER
16/10/2010,108,4,WA,WATC,ASCT,NORTHERLY STAKES,1400,100000,3YO&Up,O,Hcp,NORTHERLY STKS,FAMOUS ROMAN,MEGATIC,COLOUR CORRECT
16/10/2010,133,4,WA,WATC,ASCT,BELGRAVIA STAKES,1200,80000,3-Y-O,O,SWP,BELGRAVIA STKS,EVEN ASTAR,LAURADANE,MISS CONDITION
16/10/2010,202,4,NSW,CITY TATTS,RAND,CITY TATT'S CLUB CUP,2400,100000,3YO&Up,O,Hcp,CITY TATT'S CLUB CUP,MALUCKYDAY,KONTIKI PARK,LEGSMAN
16/10/2010,203,4,NSW,CITY TATTS,RAND,CITY TATTS LIGHTNING HCP,1100,100000,3YO&Up,O,Hcp,CITY TATT'S LIGHTNING,WHITEFRIARS,DE LIGHTNING RIDGE,CARDINAL VIRTUE
16/10/2010,354,4,VIC,MRC,CAUL,GOTHIC STAKES,1400,100000,3-Y-O,C&G,SWP,GOTHIC STAKES,MR CHARD,SKILLED,ACE ACOSTA
16/10/2010,372,4,SA,SAJC,MORP,DURBRIDGE STAKES,1200,80000,O,O,WFA,DURBRIDGE STAKES,ABOUT READY,RIGHTFULLY YOURS,VOILE ROUGE
16/10/2010,462,4,NSW,CITY TATTS,RAND,BRIAN CROWLEY STAKES,1200,100000,3-Y-O,O,SWP,BRIAN CROWLEY STAKES,CELTS,BUFFERING,HINCHINBROOK
16/10/2010,728,4,VIC,MRC,CAUL,ETHEREAL STAKES,2000,100000,3-Y-O,F,Hcp,ETHEREAL STAKES,DIZLAGO,PLACEMENT,BRIDE SALAMA
17/10/2010,134,4,NSW,GOSFORD RC,GOSF,BELLE OF THE TURF STAKES,1600,100000,3YO&Up,F&M,Hcp,BELLE OF THE TURF STAKES,HIDDEN WONDER,DEVILS ARCADE,KIMILLSY
17/10/2010,594,4,VIC,SEYMOUR RC,SEYM,SEYMOUR CUP,1600,120000,O,O,Hcp,SEYMOUR CUP,OUR LUKAS,CONQUERING,RED COLOSSUS
20/10/2010,275,3,VIC,GEELONG RC,GEEL,GEELONG CUP,2400,200000,O,O,Hcp,GEELONG CUP,AMERICAIN,MOUDRE,EXCEPTIONALLY
20/10/2010,231,4,VIC,GEELONG RC,GEEL,GEELONG CLASSIC,2200,100000,3-Y-O,O,SWP,DERBY TRIAL STAKES,MILESTONE,PERFECT PECS,SADDLE THE STARS
23/10/2010,2,1,VIC,MVRC,M V,TATTS COX PLATE,2040,3000000,3YO&Up,O,WFA,W S COX PLATE,SO YOU THINK,ZIPPING,WHOBEGOTYOU
23/10/2010,304,2,VIC,MVRC,M V,AAMI VASE,2040,200000,3-Y-O,O,SW,THE MV VASE,REKINDLED INTEREST,LION TAMER,HOLLOWLEA
23/10/2010,363,2,VIC,MVRC,M V,SCHWEPPES STAKES,1200,300000,O,O,WFA,A.J. MOIR STAKES,BLACK CAVIAR,HOT DANISH,TRUE PERSUASION
23/10/2010,368,2,VIC,MVRC,M V,CATHAY PACIFIC AIRWAYS CUP,2500,250000,3YO&Up,O,SWP,MOONEE VALLEY GOLD CUP,PRECEDENCE,ABOVE AVERAGE,CAPECOVER
23/10/2010,536,2,VIC,MVRC,M V,CRYSTAL MILE,1600,200000,O,O,Hcp,CRYSTAL MILE,SOUND JOURNEY,TRADER,DRUMBEATS
23/10/2010,409,3,WA,WATC,ASCT,PRINCE OF WALES STAKES,1200,125000,3YO&Up,O,WFA,PRINCE OF WALES STKS,WARATAH'S SECRET,IDYLLIC PRINCE,FOR YOUR EYES ONLY
23/10/2010,425,3,VIC,MVRC,M V,RED ANCHOR STAKES,1200,150000,3-Y-O,O,SWP,RED ANCHOR STAKES,THAT'S NOT IT,HAPPY TRAILS,LONE ROCK
23/10/2010,587,3,VIC,MVRC,M V,TESIO STAKES,1600,150000,4YO&Up,M,Hcp,TESIO STAKES,LADY LYNETTE,DELTA GEE,MUSIC REVIEW
23/10/2010,263,4,VIC,MVRC,M V,ALEXANDRA STAKES,1600,100000,3-Y-O,F,Hcp,ALEXANDRA STAKES,ZUBBAYA,ABSOLUTELY,AMBER WALTZ
24/10/2010,733,4,WA,NORTHAM RC,NTHM,NORTHAM CUP,1600,100000,3YO&Up,O,Qlty,NORTHAM CUP,SENTENZA,STAR RISCA,WEST RIVER CHARLEY
27/10/2010,141,4,VIC,BJC,BEND,BENDIGO CUP,2200,150000,O,O,Hcp,BENDIGO CUP,DREAM PEDLAR,MY BENTLEY,ZAUBERIN
30/10/2010,6,1,VIC,VRC,FLEM,VICTORIA DERBY,2500,1500000,3-Y-O,O,SW,VICTORIA DERBY,LION TAMER,PRAECIDO,RETRIEVE
30/10/2010,117,1,VIC,VRC,FLEM,ASCOT VALE STAKES,1200,500000,3-Y-O,O,SW,ASCOT VALE STAKES,STAR WITNESS,CURTANA,SHRAPNEL
30/10/2010,341,1,VIC,VRC,FLEM,MACKINNON STAKES,2000,1000000,O,O,WFA,LKS MACKINNON STAKES,SO YOU THINK,DESCARADO,GINGA DUDE
30/10/2010,560,1,VIC,VRC,FLEM,MYER STAKES,1600,500000,3YO&Up,F&M,WFA,EMPIRE ROSE STAKES,SACRED CHOICE,TYPHOON TRACY,HOT DANISH
30/10/2010,334,2,VIC,VRC,FLEM,SEPPELT SALINGER STAKES,1200,300000,O,O,HCP,LINLITHGOW STAKES,WHITE FRIARS,BEADED,RESPONSE
30/10/2010,531,2,VIC,VRC,FLEM,WAKEFUL STAKES,2000,300000,3-Y-O,F,SWP,WAKEFUL STAKES,BRAZILIAN PULSE,PLACEMENT,HEARTSAREFORLOVE
30/10/2010,135,3,WA,WATC,ASCT,ASIAN BEAU STAKES,1400,125000,3YO&Up,O,Hcp,ASIAN BEAU STKS,COLOUR CORRECT,GOD HAS SPOKEN,INARTICULATE
30/10/2010,168,3,VIC,VRC,FLEM,CARBINE CLUB STAKES,1600,250000,3-Y-O,O,SWP,VRC CARBINE CLUB STAKES,MR CHARD,GOLDSTONE,CONDELAGO
30/10/2010,222,3,VIC,VRC,FLEM,SAAB QUALITY,2500,250000,O,O,Qlty,HOTHAM HANDICAP,MALUCKYDAY,LINTON,ONCE WERE WILD
30/10/2010,290,3,VIC,VRC,FLEM,YALLAMBEE STUD STAKES,1400,250000,O,O,Hcp,CHATHAM STAKES,POOR JUDGE,DEMERIT,CENTENNIAL PARK
30/10/2010,158,4,WA,WATC,ASCT,BURGESS QUEEN STAKES,1400,80000,3-Y-O,F,SWP,BURGESS QUEEN STKS,EVEN ASTAR,ALL FRIARED,LAURADANE
30/10/2010,256,4,WA,WATC,ASCT,FAIRETHA STAKES,1400,80000,3-Y-O,C&G,SWP,FAIRETHA STKS,HOEGAARDEN,PLAYING GOD,VIEW THE STARS
2/11/2010,1,1,VIC,VRC,FLEM,MELBOURNE CUP,3200,6000000,O,O,Hcp,MELBOURNE CUP,AMERICAIN,MALUCKYDAY,SO YOU THINK
2/11/2010,159,4,VIC,VRC,FLEM,RITZENHOFF STAKES,1000,100000,2-Y-O,F,SW,OTTAWA STAKES,SPECTROLITE,MILITARY GRACE,DINNER DATE
2/11/2010,293,4,VIC,VRC,FLEM,HONG KONG JOCKEY CLUB PL,1800,150000,O,O,Hcp,MELBOURNE CUP DAY PLATE,TAGUS,RIGHT FONG,HIDDEN WONDER
2/11/2010,491,4,VIC,VRC,FLEM,SEPPELT WINES HANDICAP,1400,150000,3-Y-O,F,Hcp,DESIRABLE STAKES,PALOMARES,BOOKLET,ZELSNITZ
2/11/2010,696,4,VIC,VRC,FLEM,LIBERTY FINANCIAL PLATE,1400,150000,4YO&Up,M,SWP,MAYBE MAHAL STAKES,JERSEY LILY,HAPPY HIPPY,VALENTINE MISS
4/11/2010,19,1,VIC,VRC,FLEM,CROWN OAKS,2500,1000000,3-Y-O,F,SW,VRC OAKS,BRAZILIAN PULSE,SHAMROCKER,PLACEMENT
4/11/2010,297,3,NSW,HAWKESBURY RC,HAWK,HAWKESBURY GOLD CUP,1600,125000,3YO&Up,O,Hcp,HAWKESBURY GOLD CUP,THANKGOYOU'REHERE,GLINTZ,KIMILLSY
4/11/2010,172,4,VIC,VRC,FLEM,THE LEXUS STAKES,1100,150000,O,O,Hcp,CENTURY STAKES,TEMPLE OF DOOM,SECRET FLYER,FIRST COMMAND
4/11/2010,252,4,VIC,VRC,FLEM,JOHN WEST THE BEST ST,1800,150000,3-Y-O,O,Hcp,BATMAN HANDICAP,BACKGAMMON,DOMESKY,KERCHINGS
4/11/2010,426,4,VIC,VRC,FLEM,SCHWEPPERVESCENCE ST,1200,150000,3-Y-O,F,SWP,RED ROSES STAKES,CURTANA,WONDERFUL LASS,CANDY STRIPES
4/11/2010,673,4,NSW,HAWKESBURY RC,HAWK,YALUMBA CUP,1300,100000,O,O,Hcp,SAFILO CUP,KANZAN,CULLEN CASTLE,GRIFFON
4/11/2010,722,4,VIC,VRC,FLEM,BEGONIA BELLE STAKES,1100,150000,O,M,Hcp,BEGONIA BELLE STAKES,STATUS SYMBOL,JEREZANA,ZINGALING
6/11/2010,106,1,VIC,VRC,FLEM,EMIRATES STAKES,1600,1000000,O,O,Qlty,CANTALA STAKES,WALL STREET,DAO DAO,CHASM
6/11/2010,271,1,VIC,VRC,FLEM,THE PATINACK FARM CLASSIC,1200,750000,O,O,WFA,VICTORIA RACING CLUB STKS,BLACK CAVIAR,STAR WITNESS,ORTENSIA
6/11/2010,328,2,WA,WATC,ASCT,LEE STEERE STAKES,1400,200000,3YO&Up,O,WFA,LEE STEERE STKS,FAMOUS ROMAN,TARZI,FOR YOUR EYES ONLY
6/11/2010,639,2,VIC,VRC,FLEM,MATRIARCH STAKES,2000,300000,4YO&Up,M,SWP,MATRIARCH STAKES,WELL ROUNDED,PURPLE,KEEP THE PEACE
6/11/2010,345,3,VIC,VRC,FLEM,MARIBYRNONG PLATE,1000,150000,2-Y-O,O,SW,MARIBYRNONG PLATE,ARTIC COMMAND,AASHIQ,RUNNING TALL
6/11/2010,413,3,VIC,VRC,FLEM,QUEENS CUP,2600,250000,O,O,Qlty,VRC QUEEN ELIZABETH STAKES,MOUDRE,CAPECOVER,PERSIAN STAR
6/11/2010,114,4,WA,WATC,ASCT,ASCOT GOLD CUP,1800,80000,3YO&Up,O,Qlty,ASCOT GOLD CUP,COLOUR CORRECT,WEST RIVER CHARLEY,MIGHTY ROSSA
6/11/2010,522,4,VIC,VRC,FLEM,HILTON INTERNATIONAL ST,1400,150000,3-Y-O,O,Hcp,VRC SPRINGTIME STAKES,BIGELOW,YORKSHIRE LAD,TERRITORY
13/11/2010,449,2,VIC,MRC,SAND,SANDOWN CLASSIC,2400,350000,O,O,WFA,SANDOWN CLASSIC,ZIPPING,EXCEPTIONALLY,MANIGHAR
13/11/2010,450,2,VIC,MRC,SAND,SANDOWN GUINEAS,1600,350000,3-Y-O,O,SW,SANDOWN GUINEAS,PRESSDAY,CHASSE,BIGELOW
13/11/2010,528,2,WA,WATC,ASCT,W.A. GUINEAS,1600,250000,3-Y-O,O,SW,WA GUINEAS,PLAYING GOD,LAURADANE,HOEGAARDEN
13/11/2010,208,3,VIC,MRC,SAND,RACE-TECH STAKES,1500,125000,O,O,Qlty,SANDOWN STAKES,LARRY'S NEVER LATE,DEMERIT,ROCKPECKER
13/11/2010,210,3,WA,WATC,ASCT,COLONEL REEVES STAKES,1100,200000,3YO&Up,O,Qlty,COLONEL REEVES,MAMAMACHINE,WARATAH'S SECRET,KING KOOL KAT
13/11/2010,243,3,VIC,MRC,SAND,ECLIPSE STAKES,1800,125000,O,O,Qlty,ECLIPSE STAKES,VIKING HERO,DAVCON,NIBLICK
13/11/2010,535,3,WA,WATC,ASCT,R.J. PETERS STAKES,1500,125000,3YO&Up,O,Hcp,R J PETERS STKS,GOD HAS SPOKEN,RANGER,IMPRESSIVE JEUNEY
