MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,First,Second,Third
14/03/2011,119,3,SA,SAJC,MORP,AURARIA STAKES,1800,115000,3-Y-O,F,SWP,AURARIA STAKES,SHYLIGHT,SOUTHERN SPEED,ABSOLUTELY
14/03/2011,314,3,SA,SAJC,MORP,R N IRWIN STAKES,1100,115000,O,O,WFA,R N IRWIN STAKES,AVENUE,DIPLOMATIC FORCE,MORGAN DOLLAR
14/03/2011,199,4,SA,SAJC,MORP,PEWSEY VALE STAKES,1050,80000,2-Y-O,F,SW,CINDERELLA STAKES,SECRET STATUS,GONSKI GIRL,ZEST A SECOND
14/03/2011,503,4,SA,SAJC,MORP,C S HAYES STAKES,1600,70000,O,O,Qlty,COLIN HAYES MEMORIAL CUP,CYBERCYN,ROCK THE MOMENT,BELGIETTO
17/03/2011,169,3,NSW,NEWCASTLE JC,NCLE,NEWCASTLE NEWMARKET HCP,1400,140000,O,O,Hcp,NEWCASTLE NEWMARKET HCP,KEEPIN' THE DREAM,PURRPURRLENA,SO ANYWAY
17/03/2011,156,4,WA,BUNBURY RC,BUNB,BUNBURY CUP,2200,130000,3YO&Up,O,Qlty,BUNBURY CUP,STREET VALUE,DOUBLE BARREL,VOLCANIC CAUSEWAY
18/03/2011,102,2,VIC,MVRC,M V,ALISTER CLARK ST,2040,300000,3-Y-O,C&G,SW,ALISTER CLARK STAKES,DOMESKY,COLDENS CHOICE,FOLDING GEAR
18/03/2011,291,4,VIC,MVRC,M V,ST. ALBANS STAKES,1000,100000,2-Y-O,O,SW,ST. ALBANS STAKES,GOLDEN ARCHER,CHINCHILLA,SPARKS BURN
18/03/2011,539,4,VIC,,WERR,WERRIBEE CUP,2600,100000,O,O,Hcp,WERRIBEE CUP,MONTAHLIA,UPON,ELMORE
19/03/2011,391,1,NSW,STC,RHIL,COOLMORE CLASSIC,1500,600000,3YO&Up,F&M,Qlty,TAD KENNEDY STAKES,ALOHA,JERSEY LILY,MELITO
19/03/2011,423,1,NSW,STC,RHIL,RANVET STAKES,2000,400000,3YO&Up,O,WFA,RAWSON STAKES,ZAVITE,DESCARADO,HAWK ISLAND
