MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,WINNER,SECOND,THIRD
8/02/2010,247,4,TAS,TRC,HOB,TATTS THOMAS LYONS STKS,1400,80000,O,O,WFA,THOMAS LYONS STAKES,ROYAL IDA,CONQUERING,LIFE TO THE FULL
8/02/2010,487,4,TAS,TRC,HOB,STRUTT STAKES,2100,80000,3-Y-O,F,SW,STRUTT STAKES,TIO ROSSA,FEERIQUE,DANAUPAIR
13/02/2010,544,1,VIC,MVRC,M V,WILLIAM REID STAKES,1200,500000,O,O,WFA,WILLIAM REID STAKES,TURFFONTEIN,WANTED,SNIPER'S BULLET
13/02/2010,102,2,VIC,MVRC,M V,TOP CUT ALISTER CLARK ST,1600,200000,3-Y-O,C&G,SW,ALISTER CLARK STAKES,LINTON,TAKE THE RAP,OFFHANDED
13/02/2010,232,2,VIC,MVRC,M V,SUNLINE STAKES,1600,200000,3YO&Up,F&M,WFA,DIAMOND JUBILEE STAKES,ZARITA,PRINCESS MARIZZA,SILVERCITYMISS
13/02/2010,648,2,VIC,MVRC,M V,MOONEE VALLEY FILLIES CL,1500,200000,3-Y-O,F,SW,MOONEE VALLEY OAKS,SPEEDY NATALIE,ALOHA,ABSOLUTE FAITH
13/02/2010,330,2,NSW,AJC,RAND,LIGHT FINGERS STAKES,1200,150000,3-Y-O,F,SW,LIGHT FINGERS STAKES,MORE JOYOUS,TRIM,SWEEPSTAKING
13/02/2010,441,2,NSW,AJC,RAND,ROYAL SOVEREIGN STAKES,1200,150000,3-Y-O,C&G,SW,ROYAL SOVEREIGN STAKES,SHOOT OUT,MORE THAN GREAT,VIKING LEGEND
13/02/2010,627,2,NSW,AJC,RAND,BREEDERS' CLASSIC,1200,150000,4YO&Up,M,SWP,BREEDERS CLASSIC,ALVERTA,MONTANA FLYER,MADAME PEDRILLE
13/02/2010,268,3,NSW,AJC,RAND,SOUTHERN CROSS STAKES,1200,125000,3YO&Up,O,Qlty,FREDERICK CLISSOLD STAKES,KENNY'S WORLD,DREAMSCAPE,GEARED UP
