MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name
03-Oct-15,216,3,NSW,ATC,RAND,CRAVEN PLATE,2000,125000,O,O,WFA,CRAVEN PLATE
03-Oct-15,570,4,NSW,ATC,RAND,DULCIFY 3YO QUALITY HCP,1600,100000,3-Y-O,O,Qlty,DULCIFY QUALITY HCP
03-Oct-15,153,4,NSW,ATC,RAND,BREEDERS' PLATE,1000,100000,2-Y-O,C&G,SW,BREEDERS PLATE
03-Oct-15,279,4,NSW,ATC,RAND,GIMCRACK STAKES,1000,100000,2-Y-O,F,SW,AJC GIMCRACK STKS
03-Oct-15,144,4,WA,WATC,BLMT,BIRTHDAY STAKES,1200,100000,3YO&Up,O,SWP,BIRTHDAY STKS
04-Oct-15,519,1,VIC,VRC,FLEM,TURNBULL STAKES,2000,500000,4YO&Up,O,SWP,TURNBULL STAKES
04-Oct-15,244,2,VIC,VRC,FLEM,EDWARD MANIFOLD STAKES,1600,200000,3-Y-O,F,SW,EDWARD MANIFOLD STAKES
04-Oct-15,442,2,VIC,VRC,FLEM,GILGAI STAKES,1200,200000,O,O,SWP,BAGUETTE STAKES
04-Oct-15,590,2,VIC,VRC,FLEM,ROSE OF KINGSTON STAKES,1400,200000,4YO&Up,M,SWP,ROSE OF KINGSTON STAKES
04-Oct-15,713,3,VIC,VRC,FLEM,THE BART CUMMINGS,2500,300000,O,O,Qlty,THE BART CUMMINGS
04-Oct-15,205,4,VIC,VRC,FLEM,POSEIDON STAKES,1400,120000,3-Y-O,O,SWP,POSEIDON STAKES
04-Oct-15,712,4,VIC,VRC,FLEM,SUPER IMPOSE PLATE,1800,120000,3-Y-O,O,SWP,SUPER IMPOSE PLATE
04-Oct-15,638,4,VIC,VRC,FLEM,PARIS LANE STAKES,1400,120000,4YO&Up,O,Hcp,PARIS LANE STAKES
04-Oct-15,346,4,VIC,VRC,FLEM,MARIBYRNONG TRIAL STAKES,1000,120000,2-Y-O,O,SW,MARIBYRNONG TRIAL STAKES
10-Oct-15,23,1,NSW,ATC,RAND,SPRING CHAMPION STAKES,2000,500000,3-Y-O,O,SW,SPRING CHAMPION STAKES
10-Oct-15,618,3,NSW,ATC,RAND,ANGST STAKES,1600,125000,4YO&Up,M,SWP,ANGST QUALITY HCP
10-Oct-15,309,4,SA,SAJC,MORP,HILL SMITH STAKES,1800,100000,3-Y-O,O,SW,HILL SMITH STAKES
10-Oct-15,11,1,VIC,MRC,CAUL,BECK CAULFIELD GUINEAS,1600,1000000,3-Y-O,O,SW,CAULFIELD GUINEAS
10-Oct-15,510,1,VIC,MRC,CAUL,SCHWEPPES THOUSAND GUINEAS,1600,500000,3-Y-O,F,SW,THE THOUSAND GUINEAS
10-Oct-15,181,1,VIC,MRC,CAUL,CAULFIELD STAKES,2000,400000,3YO&Up,O,WFA,CAULFIELD STAKES
10-Oct-15,245,1,VIC,MRC,CAUL,DAVID JONES NBCF TOORAK HANDICAP,1600,400000,O,O,Hcp,TOORAK HANDICAP
10-Oct-15,196,2,VIC,MRC,CAUL,SCHILLACI STAKES,1100,400000,3YO&Up,O,WFA,SCHILLACI STAKES
10-Oct-15,305,2,VIC,MRC,CAUL,WILLIAM HILL HERBERT POWER STAKES,2400,400000,O,O,Qlty,HERBERT POWER STAKES
10-Oct-15,509,3,VIC,MRC,CAUL,THOROUGHBRED CLUB STAKES,1200,150000,3-Y-O,F,SWP,THOROUGHBRED CLUB STAKES
10-Oct-15,695,3,VIC,MRC,CAUL,WILLIAM HILL SPRINT SERIES FINAL STAKES,1200,150000,4YO&Up,M,SWP,NORTHWOOD PLUME STAKES
10-Oct-15,935,4,VIC,MRC,CAUL,BMW WEEKEND HUSSLER,1400,120000,O,O,HCP,BMW WEEKEND HUSSLER HANDICAP
10-Oct-15,227,4,VIC,MRC,CAUL,INGLIS DEBUTANTS STAKES,1000,120000,2-Y-O,O,SW,DEBUTANT STAKES
11-Oct-15,215,4,VIC,CRANBOURNE TC,CRAN,CRANBOURNE CUP,2025,300000,O,O,Hcp,CRANBOURNE CUP
14-Oct-15,338,4,SA,MURR BDGE RC,MBRID,MURRAY BRIDGE GOLD CUP,1600,100000,O,O,Qlty,LORD MAYORS MILE
14-Oct-15,710,3,VIC,MRC,CAUL,LADIES DAY VASE,1600,150000,4YO&Up,M,SWP,LADIES DAY VASE
14-Oct-15,979,4,VIC,MRC,CAUL,CATANACH'S JEWELLERS BLUE SAPPHIRE STAKES,1200,350000,3-Y-O,O,SW,BLUE SAPPHIRE STAKES
14-Oct-15,936,4,VIC,MRC,CAUL,ITALKTRAVEL CAULFIELD VILLAGE STAKES,1200,120000,O,O,HCP,CAULFIELD VILLAGE STAKES
17-Oct-15,617,3,NSW,CITY TATTS,RAND,THE NIVISON,1200,125000,4YO&Up,M,SWP,THE NIVISON
17-Oct-15,202,4,NSW,CITY TATTS,RAND,CITY TATT'S CLUB CUP,2400,100000,3YO&Up,O,Hcp,CITY TATT'S CLUB CUP
17-Oct-15,203,4,NSW,CITY TATTS,RAND,CITY TATTS LIGHTNING HCP,1100,100000,3YO&Up,O,Hcp,CITY TATT'S LIGHTNING
17-Oct-15,462,4,NSW,CITY TATTS,RAND,BRIAN CROWLEY STAKES,1200,100000,3-Y-O,O,SWP,BRIAN CROWLEY STAKES
17-Oct-15,372,4,SA,SAJC,MORP,DURBRIDGE STAKES,1200,100000,O,O,WFA,DURBRIDGE STAKES
17-Oct-15,4,1,VIC,MRC,CAUL,BMW CAULFIELD CUP,2400,3000000,O,O,Hcp,CAULFIELD CUP
17-Oct-15,378,2,VIC,MRC,CAUL,PERRI CUTTEN CAULFIELD SPRINT,1100,200000,O,O,Hcp,CAULFIELD SPRINT
17-Oct-15,561,2,VIC,MRC,CAUL,SCHWEPPES TRISTARC STAKES,1400,200000,4YO&Up,M,SWP,TRISTARC STAKES
17-Oct-15,384,3,VIC,MRC,CAUL,CAULFIELD CLASSIC,2000,500000,3-Y-O,O,SWP,NORMAN ROBINSON STAKES
17-Oct-15,211,3,VIC,MRC,CAUL,DAVID JONES CUP,2000,150000,O,O,Hcp,COONGY HANDICAP
17-Oct-15,581,3,VIC,MRC,CAUL,WILLIAM HILL MOONGA STAKES,1400,150000,4YO&Up,O,SWP,MOONGA STAKES
17-Oct-15,728,3,VIC,MRC,CAUL,NEW ZEALAND BLOODSTOCK ETHEREAL STAKES,2000,150000,3-Y-O,F,SWP,ETHEREAL STAKES
17-Oct-15,354,4,VIC,MRC,CAUL,POLYTRACK GOTHIC STAKES,1400,120000,3-Y-O,C&G,SWP,GOTHIC STAKES
17-Oct-15,937,4,VIC,MRC,CAUL,CROWN GOLDEN ALE ALINGHI STAKES,1100,120000,3YO&Up,F&M,Hcp,ALINGHI STAKES
17-Oct-15,108,3,WA,WATC,ASCT,NORTHERLY STAKES,1400,150000,3YO&Up,O,SWP,NORTHERLY STKS
17-Oct-15,133,4,WA,WATC,ASCT,BELGRAVIA STAKES,1200,100000,3-Y-O,O,SWP,BELGRAVIA STKS
18-Oct-15,594,4,VIC,SEYMOUR RC,SEYM,SEYMOUR CUP,1600,150000,O,O,Hcp,SEYMOUR CUP
21-Oct-15,275,3,VIC,GEELONG RC,GEEL,GEELONG CUP,2400,300000,O,O,Hcp,GEELONG CUP
21-Oct-15,231,4,VIC,GEELONG RC,GEEL,GEELONG CLASSIC,2200,120000,3-Y-O,O,SWP,DERBY TRIAL STAKES
21-Oct-15,974,4,VIC,GEELONG RC,GEEL,BLACK PEARL,1200,120000,3YO&Up,F&M,SWP,BLACK PEARL
23-Oct-15,343,1,VIC,MVRC,M V,MANIKATO STAKES,1200,1000000,O,O,WFA,MANIKATO STAKES
24-Oct-15,2,1,VIC,MVRC,M V,WILLIAM HILL COX PLATE,2040,3000000,3YO&Up,O,WFA,W S COX PLATE
24-Oct-15,368,2,VIC,MVRC,M V,MOONEE VALLEY GOLD CUP,2500,250000,4YO&Up,O,SWP,MOONEE VALLEY GOLD CUP
24-Oct-15,648,2,VIC,MVRC,M V,MOONEE VALLEY FILLIES CLASSIC,1600,200000,3-Y-O,F,SW,MOONEE VALLEY FILLIES CLASSIC
24-Oct-15,304,2,VIC,MVRC,M V,The MV VASE,2040,200000,3-Y-O,O,SW,THE MV VASE
24-Oct-15,536,2,VIC,MVRC,M V,CRYSTAL MILE,1600,200000,O,O,WFA,CRYSTAL MILE
24-Oct-15,425,3,VIC,MVRC,M V,RED ANCHOR STAKES,1200,150000,3-Y-O,O,SWP,RED ANCHOR STAKES
24-Oct-15,587,3,VIC,MVRC,M V,TESIO STAKES,1600,150000,4YO&Up,M,Hcp,TESIO STAKES
24-Oct-15,586,4,VIC,MVRC,M V,WILLIAM CROCKETT STAKES,1200,120000,3-Y-O,F,SWP,WILLIAM CROCKET STAKES
24-Oct-15,939,RL,VIC,MVRC,M V,2YO INGLIS BANNER,1000,250000,2-Y-O,O,SW,2YO INGLIS BANNER
24-Oct-15,409,3,WA,WATC,ASCT,PRINCE OF WALES STAKES,1200,150000,3YO&Up,O,WFA,PRINCE OF WALES STKS
25-Oct-15,758,4,VIC,SALE TC,SALE,SALE CUP,1600,150000,O,O,Hcp,SALE CUP
25-Oct-15,733,4,WA,NORTHAM RC,NTHM,NORTHAM CUP,1600,120000,3YO&Up,O,Qlty,NORTHAM CUP
28-Oct-15,141,3,VIC,BJC,BEND,BENDIGO CUP,2400,300000,O,O,Hcp,BENDIGO CUP
31-Oct-15,6,1,VIC,VRC,FLEM,AAMI VICTORIA DERBY,2500,1500000,3-Y-O,O,SW,VICTORIA DERBY
31-Oct-15,341,1,VIC,VRC,FLEM,LONGINES MACKINNON STAKES,2000,1000000,O,O,WFA,LKS MACKINNON STAKES
31-Oct-15,117,1,VIC,VRC,FLEM,COOLMORE STUD STAKES,1200,500000,3-Y-O,O,SW,ASCOT VALE STAKES
31-Oct-15,560,1,VIC,VRC,FLEM,MYER CLASSIC,1600,500000,3YO&Up,F&M,WFA,EMPIRE ROSE STAKES
31-Oct-15,334,2,VIC,VRC,FLEM,TAB.COM.AU STAKES,1200,300000,O,O,HCP,LINLITHGOW STAKES
31-Oct-15,531,2,VIC,VRC,FLEM,RACING.COM WAKEFUL STAKES,2000,300000,3-Y-O,F,SWP,WAKEFUL STAKES
31-Oct-15,222,3,VIC,VRC,FLEM,LEXUS STAKES,2500,300000,O,O,Qlty,HOTHAM HANDICAP
31-Oct-15,168,3,VIC,VRC,FLEM,CARBINE CLUB STAKES,1600,200000,3-Y-O,O,SWP,VRC CARBINE CLUB STAKES
31-Oct-15,290,3,VIC,VRC,FLEM,YELLOWGLEN STAKES,1400,200000,O,O,Hcp,CHATHAM STAKES
31-Oct-15,135,3,WA,WATC,ASCT,ASIAN BEAU STAKES,1400,150000,3YO&Up,O,Hcp,ASIAN BEAU STKS
31-Oct-15,158,4,WA,WATC,ASCT,BURGESS QUEEN STAKES,1400,100000,3-Y-O,F,SWP,BURGESS QUEEN STKS
03-Nov-15,1,1,VIC,VRC,FLEM,EMIRATES MELBOURNE CUP,3200,6000000,O,O,Hcp,MELBOURNE CUP
03-Nov-15,696,3,VIC,VRC,FLEM,HKJC STAKES,1400,200000,4YO&Up,M,SWP,MAYBE MAHAL STAKES
03-Nov-15,159,3,VIC,VRC,FLEM,EMIRATES AIRLINE PLATE,1000,150000,2-Y-O,F,SW,OTTAWA STAKES
03-Nov-15,293,4,VIC,VRC,FLEM,JAMES BOAGES PREMIUM STAKES,1800,150000,O,O,Hcp,MELBOURNE CUP DAY PLATE
